,Player,TD_Likelihood,Model_Odds,Favor,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
0,Greg Dortch,0.12,733.3333333333334,1,750.0,,750.0,750.0,750.0,750.0
1,Marvin Harrison Jr.,0.36,177.77777777777777,1,165.0,,160.0,128.0,170.0,165.0
2,Elijah Higgins,0.12,733.3333333333334,1,850.0,,800.0,850.0,750.0,850.0
3,Zay Jones,0.01,9900.0,1,750.0,,750.0,1200.0,750.0,750.0
4,Trey McBride,0.38,163.15789473684208,1,205.0,,200.0,148.0,200.0,205.0
5,Tip Reiman,0.01,9900.0,1,1400.0,,1400.0,1700.0,1500.0,1400.0
6,Michael Wilson,0.23,334.78260869565213,1,310.0,,300.0,245.0,310.0,310.0
7,KhaDarel Hodge,0.09,1011.1111111111112,1,1200.0,1300.0,1100.0,1300.0,1500.0,1200.0
8,Drake London,0.29,244.82758620689657,1,155.0,155.0,150.0,130.0,170.0,155.0
9,Ray-Ray McCloud III,0.32,212.5,1,300.0,380.0,300.0,260.0,350.0,300.0
10,Darnell Mooney,0.26,284.6153846153846,1,215.0,250.0,210.0,175.0,225.0,215.0
11,Kyle Pitts,0.2,400.0,1,320.0,330.0,300.0,260.0,350.0,320.0
12,Casey Washington,0.06,1566.6666666666667,1,1800.0,2700.0,1700.0,2000.0,2500.0,1800.0
13,Charlie Woerner,0.12,733.3333333333334,1,1500.0,1200.0,1400.0,1050.0,1800.0,1500.0
14,Nelson Agholor,0.02,4900.0,1,,,,,,
15,Mark Andrews,0.34,194.11764705882356,1,,,,,,
16,Rashod Bateman,0.31,222.5806451612903,1,,,,,,
17,Zay Flowers,0.32,212.5,1,,,,,,
18,Isaiah Likely,0.15,566.6666666666667,1,,,,,,
19,Tylan Wallace,0.19,426.31578947368416,1,,,,,,
20,Keon Coleman,0.24,316.6666666666667,1,205.0,210.0,,200.0,,205.0
21,Amari Cooper,0.36,177.77777777777777,1,165.0,210.0,160.0,185.0,165.0,165.0
22,Mack Hollins,0.13,669.2307692307692,1,255.0,280.0,250.0,270.0,250.0,255.0
23,Dalton Kincaid,0.23,334.78260869565213,1,210.0,210.0,,185.0,275.0,210.0
24,Dawson Knox,0.07,1328.5714285714284,1,200.0,210.0,200.0,215.0,220.0,200.0
25,Quintin Morris,0.08,1150.0,1,950.0,1600.0,900.0,1150.0,900.0,1000.0
26,Curtis Samuel,0.24,316.6666666666667,1,400.0,360.0,400.0,400.0,333.0,400.0
27,Khalil Shakir,0.31,222.5806451612903,1,205.0,210.0,200.0,165.0,190.0,205.0
28,Jalen Coker,0.15,566.6666666666667,1,425.0,750.0,400.0,,500.0,390.0
29,Xavier Legette,0.3,233.33333333333337,1,340.0,470.0,325.0,270.0,425.0,400.0
30,David Moore,0.13,669.2307692307692,1,500.0,500.0,500.0,400.0,500.0,500.0
31,Ja'Tavion Sanders,0.23,334.78260869565213,1,450.0,,450.0,510.0,450.0,390.0
32,Adam Thielen,0.31,222.5806451612903,1,260.0,380.0,260.0,270.0,275.0,270.0
33,Deven Thompkins,0.04,2400.0,1,1700.0,2500.0,1700.0,900.0,1800.0,1700.0
34,Tommy Tremble,0.23,334.78260869565213,1,450.0,850.0,450.0,600.0,550.0,450.0
35,Keenan Allen,0.41,143.90243902439025,1,200.0,150.0,200.0,,,200.0
36,DeAndre Carter,0.01,9900.0,1,750.0,550.0,750.0,,,750.0
37,Cole Kmet,0.34,194.11764705882356,1,280.0,250.0,280.0,,,295.0
38,DJ Moore,0.41,143.90243902439025,1,205.0,150.0,200.0,,,205.0
39,Rome Odunze,0.45,122.22222222222224,1,250.0,230.0,250.0,,,250.0
40,Jermaine Burton,0.05,1900.0,1,750.0,1100.0,750.0,750.0,,750.0
41,Ja'Marr Chase,0.42,138.0952380952381,1,-165.0,-150.0,-167.0,-180.0,,-164.0
42,Mike Gesicki,0.28,257.1428571428571,1,240.0,350.0,240.0,205.0,,240.0
43,Tee Higgins,0.27,270.3703703703703,1,130.0,130.0,130.0,102.0,,130.0
